Shimmer_A5E0_Timestamp_Unix_CAL,Shimmer_A5E0_GSR_Skin_Conductance_CAL_uS,Shimmer_A5E0_GSR_Skin_Resistance_CAL_kOhm,Shimmer_A5E0_PPG_A13_CAL_mV,Shimmer_A5E0_Accel_LN_X_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Y_CAL_m/s^2,Shimmer_A5E0_Accel_LN_Z_CAL_m/s^2,Shimmer_A5E0_Accel_WR_X_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Y_CAL_m/s^2,Shimmer_A5E0_Accel_WR_Z_CAL_m/s^2,Shimmer_A5E0_Gyro_X_CAL_deg/s,Shimmer_A5E0_Gyro_Y_CAL_deg/s,Shimmer_A5E0_Gyro_Z_CAL_deg/s,Shimmer_A5E0_Mag_X_CAL_local,Shimmer_A5E0_Mag_Y_CAL_local,Shimmer_A5E0_Mag_Z_CAL_local,Shimmer_A5E0_Temperature_BMP280_CAL_Celcius,Shimmer_A5E0_Pressure_BMP280_CAL_Pa,Shimmer_A5E0_Ext_Exp_A7_CAL_mV,Shimmer_A5E0_VSenseBatt_CAL_mV,Shimmer_A5E0_PPGtoHR_CAL_BPM
1771599000,0.7494509516837482,1334.3101343101343,2268.0,2230.0,1677.0,1335.0,3940.0,7304.0,-13920.0,755.0,-453.0,168.0,-469.0,-1299.0,-307.0,32768.0,5564160.0,2258.0,2705.0,0.0
1771855000,0.7494509516837482,1334.3101343101343,2270.0,2225.0,1671.0,1335.0,3900.0,7356.0,-13948.0,761.0,-474.0,188.0,-469.0,-1299.0,-307.0,32768.0,5564160.0,2259.0,2706.0,0.0
1772111000,0.7494509516837482,1334.3101343101343,2272.0,2225.0,1670.0,1330.0,3912.0,7392.0,-13932.0,710.0,-480.0,194.0,-464.0,-1294.0,-311.0,32768.0,5564928.0,2259.0,2705.0,0.0
1772367000,0.7494509516837482,1334.3101343101343,2261.0,2226.0,1674.0,1335.0,3908.0,7368.0,-13836.0,731.0,-478.0,160.0,-462.0,-1297.0,-310.0,32768.0,5564928.0,2256.0,2703.0,0.0
1772623000,0.7494509516837482,1334.3101343101343,2266.0,2224.0,1674.0,1334.0,3900.0,7320.0,-13852.0,675.0,-459.0,118.0,-464.0,-1292.0,-314.0,32768.0,5565440.0,2259.0,2706.0,0.0
1772879000,0.7494509516837482,1334.3101343101343,2262.0,2225.0,1674.0,1335.0,3884.0,7304.0,-13940.0,684.0,-469.0,129.0,-462.0,-1294.0,-315.0,32768.0,5565440.0,2258.0,2705.0,0.0
1773135000,0.7494509516837482,1334.3101343101343,2262.0,2224.0,1676.0,1334.0,3860.0,7248.0,-13908.0,717.0,-489.0,132.0,-462.0,-1294.0,-315.0,32768.0,5564928.0,2258.0,2705.0,0.0
1773391000,0.7494509516837482,1334.3101343101343,2254.0,2225.0,1677.0,1331.0,3908.0,7196.0,-13964.0,679.0,-493.0,119.0,-460.0,-1295.0,-311.0,32768.0,5564928.0,2251.0,2704.0,0.0
1773647000,0.02998857578065499,33346.031746031746,2251.0,2225.0,1679.0,1334.0,3908.0,7272.0,-13904.0,741.0,-511.0,133.0,-467.0,-1299.0,-304.0,32768.0,5564928.0,2256.0,2706.0,0.0
1773903000,0.02998857578065499,33346.031746031746,2260.0,2225.0,1674.0,1328.0,3924.0,7312.0,-14008.0,666.0,-478.0,131.0,-457.0,-1295.0,-302.0,32768.0,5564928.0,2259.0,2706.0,0.0
1774159000,0.02998857578065499,33346.031746031746,2259.0,2223.0,1673.0,1332.0,3860.0,7336.0,-13912.0,676.0,-513.0,102.0,-457.0,-1295.0,-302.0,32768.0,5564928.0,2258.0,2705.0,0.0
1774415000,0.02998857578065499,33346.031746031746,2172.0,2223.0,1674.0,1330.0,3812.0,7284.0,-13964.0,618.0,-476.0,58.0,-454.0,-1293.0,-314.0,32768.0,5564928.0,2212.0,2688.0,0.0
1774671000,0.02998857578065499,33346.031746031746,2191.0,2224.0,1680.0,1330.0,3920.0,7220.0,-14044.0,594.0,-459.0,36.0,-459.0,-1300.0,-310.0,32768.0,5565440.0,2245.0,2707.0,0.0
1774927000,0.02998857578065499,33346.031746031746,2215.0,2219.0,1676.0,1327.0,3776.0,7288.0,-13964.0,675.0,-474.0,67.0,-463.0,-1294.0,-310.0,32768.0,5565440.0,2253.0,2706.0,0.0
1775183000,0.02998857578065499,33346.031746031746,2234.0,2222.0,1676.0,1329.0,3868.0,7276.0,-14028.0,680.0,-430.0,22.0,-462.0,-1290.0,-309.0,32768.0,5566464.0,2255.0,2705.0,0.0
1775439000,0.02998857578065499,33346.031746031746,2244.0,2223.0,1678.0,1331.0,3848.0,7272.0,-13976.0,661.0,-452.0,33.0,-462.0,-1290.0,-309.0,32768.0,5566464.0,2255.0,2703.0,0.0
1775695000,0.02998857578065499,33346.031746031746,2253.0,2226.0,1680.0,1332.0,3896.0,7228.0,-14004.0,628.0,-482.0,43.0,-460.0,-1297.0,-310.0,32768.0,5565696.0,2258.0,2706.0,0.0
1775951000,0.02998857578065499,33346.031746031746,2262.0,2226.0,1679.0,1334.0,3912.0,7224.0,-13928.0,600.0,-487.0,117.0,-466.0,-1294.0,-310.0,32768.0,5565696.0,2259.0,2706.0,0.0
1776207000,0.02998857578065499,33346.031746031746,2248.0,2221.0,1679.0,1329.0,3836.0,7240.0,-13976.0,587.0,-535.0,120.0,-461.0,-1293.0,-310.0,32768.0,5566208.0,2252.0,2705.0,0.0
1776463000,0.015299488896195116,65361.66056166056,2245.0,2221.0,1679.0,1325.0,3840.0,7256.0,-14100.0,618.0,-495.0,98.0,-462.0,-1292.0,-309.0,32768.0,5566208.0,2253.0,2703.0,0.0
1776719000,0.015299488896195116,65361.66056166056,2252.0,2222.0,1676.0,1328.0,3840.0,7284.0,-14048.0,624.0,-493.0,79.0,-462.0,-1292.0,-309.0,32768.0,5565696.0,2257.0,2706.0,0.0
1776975000,0.015299488896195116,65361.66056166056,2263.0,2220.0,1677.0,1328.0,3828.0,7260.0,-13952.0,564.0,-492.0,61.0,-471.0,-1291.0,-310.0,32768.0,5565696.0,2259.0,2706.0,0.0
1777231000,0.015299488896195116,65361.66056166056,2262.0,2223.0,1680.0,1325.0,3844.0,7196.0,-14036.0,536.0,-488.0,41.0,-463.0,-1294.0,-312.0,32768.0,5566464.0,2258.0,2705.0,0.0
